"Latitude","Longitude","Noise Amplitude","Pressure","Relative Humidity","Temperature"
45.2767456,18.7875036,19,1006.5,64.125,27.75
45.2946684,18.7986379,54,1064.125,47.125,31.75
45.28522,18.795725,26,1071.25,64.125,27.75
45.2908867,18.7636349,56,1028.125,66,31.75
45.2835299,18.7742899,3778,999.25,79.75,26.75
45.2834414,18.7629929,325,1035.25,41.25,26.75
45.2928117,18.8038568,5882,1035.25,6.5,36.625
45.2687,18.7985667,18,1006.5,64.125,27.75
45.2796517,18.82499,48,1078.375,23.5,22
45.2935017,18.8291833,376,1042.5,66.75,24.375
45.2904917,18.8081683,9843,1006.5,23.5,22
45.2818275,18.7725825,94,999.25,79.75,26.75
45.2885684,18.8045424,7049,1006.5,23.5,22
45.2932333,18.8023217,3421,1035.25,6.5,36.625
45.2894617,18.8125717,7302,1078.375,23.5,22
45.2895333,18.7909333,33,1013.75,66,31.75
45.2919317,18.8174667,12962,1042.5,66.75,24.375
45.2898667,18.79516,1083,1064.125,47.125,31.75
45.2797927,18.7902965,43,1006.5,64.125,27.75
45.2884319,18.8084909,7571,1006.5,23.5,22
45.2754467,18.7986417,69,1006.5,64.125,27.75
45.2973803,18.8021067,1304,1064.125,71.25,34.25
45.2933485,18.7692147,159,1015.25,36.625,30.75
45.2925383,18.7696417,5979,1006.5,64.125,27.75
45.2776248,18.8046752,34,1006.5,64.125,27.75
45.2762927,18.7930682,26,1006.5,64.125,27.75
45.2966547,18.8060789,1765,1064.125,71.25,34.25
45.2879033,18.7923483,21,1064.125,47.125,31.75
45.2905617,18.80439,12318,1015.25,36.625,30.75
45.2836984,18.8176083,34,1078.375,23.5,22
45.2701739,18.805011,26,1006.5,64.125,27.75
45.2993584,18.8133468,86,1042.5,66.75,24.375
45.2956767,18.8110717,88,1042.5,66.75,24.375
45.2979824,18.8031591,341,1028.125,47.125,31.75
45.2873817,18.8000067,8605,1006.5,23.5,22
45.2827917,18.8156333,236,1078.375,23.5,22
45.2918533,18.7635917,60,1028.125,66,31.75
45.2793483,18.7978267,12760,1006.5,64.125,27.75
45.2908952,18.805053,11735,1006.5,23.5,22
45.2954117,18.802769,32,1064.125,71.25,34.25
45.2951933,18.813605,678,1042.5,66.75,24.375
45.281015,18.80016,72,1071.25,64.125,27.75
45.2765161,18.79511,26,1006.5,64.125,27.75
45.2939867,18.8049067,3523,1006.5,23.5,22
45.2958233,18.8032567,88,1064.125,71.25,34.25
45.2803067,18.7877183,30,1006.5,64.125,27.75
45.2759077,18.8216847,611,1078.375,23.5,22
45.28916,18.8151033,90,1078.375,23.5,22
45.2945941,18.809438,6799,1006.5,23.5,22
45.2921464,18.8015814,3844,1035.25,6.5,36.625
45.299735,18.8010568,712,1064.125,47.125,31.75
45.2873233,18.7665735,865,1028.125,66,31.75
45.2911011,18.8095081,17692,1006.5,23.5,22
45.2815745,18.7909119,31,1006.5,64.125,27.75
45.2836983,18.8085967,326,1078.375,23.5,22
45.28826,18.7666383,39,1028.125,66,31.75
45.2870883,18.7839184,2482,1006.5,69.25,34.25
45.2768656,18.7994726,27,1006.5,64.125,27.75
45.2850899,18.785774,62,1006.5,69.25,34.25
45.2872333,18.7645783,22,1028.125,66,31.75
45.28867,18.7734,212,999.25,79.75,26.75
45.2873028,18.7783327,4846,999.25,79.75,26.75
45.2891417,18.799445,9533,1006.5,23.5,22
45.297105,18.8036661,1698,1064.125,71.25,34.25
45.2880783,18.7668533,33,1028.125,66,31.75
45.294784,18.7996411,1926,1064.125,71.25,34.25
45.2861317,18.78924,56,1006.5,69.25,34.25
45.293995,18.766505,84,999.25,79.75,26.75
45.2952061,18.8073865,2159,1064.125,71.25,34.25
45.2890668,18.807535,17911,1006.5,23.5,22
45.2790816,18.8039143,118,1006.5,64.125,27.75
45.2773464,18.7905004,24,1006.5,64.125,27.75
45.2819468,18.8185093,66,1078.375,23.5,22
45.2820117,18.7958901,34,1071.25,64.125,27.75
45.284845,18.8125017,48,1078.375,23.5,22
45.2995242,18.7997904,630,1064.125,47.125,31.75
45.2884617,18.8011517,7327,1006.5,23.5,22
45.2820541,18.785313,1125,1006.5,69.25,34.25
