"Latitude","Longitude","Noise Level","Pressure","Relative Humidity","Temperature"
45.28767,18.8061867,1,985,66,22
45.2921733,18.8170783,1,1028.125,78.375,31.75
45.2688567,18.7991683,"",1013.75,51,31.75
45.2990177,18.8025976,1,1049.75,77.75,34.25
45.2688567,18.7991683,"",1013.75,51,31.75
45.29745,18.8127567,1,1006.5,35.875,27.5
45.2891167,18.8048882,2,1013.75,"",""
45.271725,18.7943,2,1035.25,39.25,36.625
45.29653,18.8036267,1,1013.75,"",""
45.2921983,18.813245,"",1006.5,35.875,27.5
45.298525,18.8042333,1,1049.75,77.75,34.25
45.293215,18.8014517,2,985,66,22
45.271725,18.7943,2,1035.25,39.25,36.625
45.293215,18.8014517,1,985,66,22
45.2997937,18.8068511,"",999.25,80.375,39
45.2777583,18.78482,"",1013.75,"",""
45.286105,18.78175,1,1006.5,77.75,34.25
45.2883083,18.765845,"",999.25,80.375,39
45.2816,18.8210217,"",985,68.625,19.5
45.2899476,18.789756,"",1028.125,77.75,34.25
45.2738517,18.8019217,"",970.625,"",""
45.2921983,18.813247,"",1006.5,35.875,27.5
45.2921733,18.8170783,1,1006.5,81.75,26.75
45.2928617,18.80023,2,1028.125,73.25,29.25
45.2849117,18.7788733,1,1020.875,64.125,34.25
45.2772117,18.8140867,"",1020.875,51.625,29.25
45.2879,18.8074817,2,1028.125,38.625,22
45.291915,18.795815,1,1035.25,50.25,24.375
45.2825833,18.772375,1,999.25,80.375,39
45.2941783,18.8086117,1,1049.75,77.75,34.25
45.2910923,18.8066617,1,1049.75,77.75,34.25
45.2829083,18.8078433,1,1006.5,77.75,34.25
45.2953467,18.80309,1,1078.375,82.375,34.25
45.290715,18.795025,1,1020.875,40.5,26.75
45.28767,18.8061867,2,985,66,22
45.2738517,18.8019217,"",970.625,"",""
45.295925,18.8015517,1,999.25,51.625,24.375
45.2915817,18.8062083,2,1049.75,77.75,34.25
45.2772117,18.8140867,"",1020.875,51.625,29.25
45.2849117,18.7788733,2,1020.875,64.125,34.25
45.2872047,18.7867733,1,1006.5,77.75,34.25
45.2896017,18.770465,1,1006.5,61.375,29.25
45.2873783,18.810075,1,1006.5,77.75,34.25
45.271725,18.7943,1,1006.5,81.75,26.75
45.2993883,18.8177367,"",1006.5,69.875,36.625
45.28731,18.8109817,1,1013.75,"",""
45.2688567,18.7991683,"",1013.75,51,31.75
45.2940217,18.8248367,"",1006.5,62.125,31.75
45.2998533,18.80595,1,1049.75,77.75,34.25
45.2993883,18.8177367,1,1020.875,16.25,24.375
45.275685,18.7988167,"",1013.75,51,31.75
45.2963117,18.7996267,"",1020.875,33.25,29.25
45.2738517,18.8019217,"",970.625,"",""
45.2938482,18.8233174,"",1006.5,77.75,34.25
45.2890727,18.8012999,2,1028.125,44.375,26.75
45.28793,18.806125,2,1035.25,78.375,34.25
45.291915,18.795815,2,1006.5,43.125,36.625
45.2922,18.81215,"",1006.5,35.875,27.5
45.2993883,18.8177367,1,1020.875,16.25,24.375
45.2755617,18.7903883,"",970.625,"",""
45.2852652,18.8074558,2,1006.5,77.75,34.25
45.2816,18.8210217,1,985,68.625,19.5
45.294105,18.7969128,1,1020.875,33.25,29.25
45.2993883,18.8177367,"",1006.5,69.875,36.625
45.2927167,18.7709517,"",999.25,80.375,39
45.280825,18.8088067,1,1028.125,32,24.375
45.2957067,18.80803,1,1035.25,45.75,36.625
45.2762467,18.7956867,"",1013.75,"",""
45.2945417,18.80531,"",1020.875,27.5,26.75
45.291055,18.8059167,2,1013.75,"",""
45.2984433,18.8141633,"",1020.875,72.5,29.25
45.2923083,18.7897317,"",1020.875,33.25,29.25
45.2832467,18.7858533,"",1006.5,77.75,34.25
45.2766717,18.7903983,"",1013.75,"",""
45.2919767,18.7845383,"",1064.125,45.125,32.125
45.2957067,18.80803,2,1020.875,30.125,26.75
45.2922,18.81215,"",1006.5,35.875,27.5
45.2979135,18.7974682,"",1020.875,33.25,29.25
45.275685,18.7988167,"",1013.75,51,31.75
45.291915,18.795815,"",1006.5,43.125,36.625
45.291915,18.795815,2,992.25,64.75,39
45.2790867,18.7891117,"",1013.75,"",""
45.287515,18.7822967,2,1006.5,45.75,39
45.28767,18.8061867,2,985,66,22
45.2803083,18.7937217,1,1042.5,41.25,26.75
45.2921983,18.813245,"",1006.5,35.875,27.5
45.2945417,18.80531,2,1020.875,27.5,26.75
45.2921983,18.8132508,"",1006.5,35.875,27.5
45.2888017,18.7933217,1,1028.125,77.75,34.25
45.2914833,18.77685,"",1010.25,53,32
45.2795067,18.7751733,"",1013.75,"",""
45.2800383,18.8202,1,1006.5,34,31.75
45.2924017,18.7688233,1,1006.5,41.75,31.75
45.2818283,18.7822583,"",1013.75,"",""
45.2957267,18.8276117,"",1006.5,77.75,34.25
45.293215,18.8014517,2,985,66,22
